2732,2017-01-13,havde en fantastisk tid hos yoga priestess et meget roligt hvor jeg mig tryg ved hjem sent om aftenen en hyggelig lejlighed med til loftet dejligt en trappe op yoga priestes var en og givende altid gode ved samtidig med jeg havde en af privat afstand til strand og til shopping muligheder god tur brugte jeg ikke da jeg spiste ude men der ud til der er det der skal yoga priestess sagde der vil komme ny seng det er nok det eneste jeg vil hyggelig lille terrasse som jeg ikke fik brugt regn men den var dejlig kunne se fra stuen 
2732,2017-06-14,described totally home felt good vibe day one louise greet get familiar right away shared wonderful conversations great laughter fun evening location walking distance anything would need pleasant experience highly recommend thanks louise 
2732,2018-11-15,unforgettable vacation everything great wonderful person good sense humor open friendly advice support helped stay beautiful city house great location near beach famous promenade street house clean cozy comfortable glad come back 
3021,2013-09-03,lived los angeles years favorite time years lived laurel canyon recently sold home needed place stay month moving state naturally wanted return nataraj place lovely well designed peaceful completely private everything could possibly need centrally located convenient hollywood valley thoroughly enjoyed time visitors know need car get anywhere cell phone signals hills tricky nataraj talk thru ways around parking little hard find kids dropped picked school hill late saturday night walk hill fun lots interesting houses look dog really enjoyed nature nataraj charming handles situations come apartment house occasionally hear people walking talking upstairs quiet time would recommend guesthouse website hidden airbnb great los canyon experience 
3021,2014-03-27,stayed twice loved experience location amazing house nataraj perfect host strongly recommend 
3021,2014-05-02,nataraj helpful beginning always communicated everything needed timely manner mention place quite dope 
3021,2015-10-13,better luck next time 
3021,2016-07-11,great place host really really helpful us pinch assistant hand everything needed requested felt welcome comfortable like home 
3021,2016-07-22,favorite place airbnb maybe ok night two long term maybe 
3021,2016-08-01,super responsive accommodating 
3021,2016-08-20,amazing 
3021,2016-08-26,guest house amazing location although keep mind traffic throughout day get bad especially elementary school end street booked air bnb week stay booking noticed check time messaging nataraj booking soon asked check received response day stay landed found could check till evening make work upset still paid full day night guest house loved set look first glance nataraj definitely good taste fan webs bugs place everywhere lighting guest house horrible girl need good lighting get ready going problem along fact one small mirror bedroom mirror bathroom nataraj says ac house connected main house keep mind ac vent tiny gets way hot fan good even windows open still help much speaking windows work well opening closing tape paper towels privacy restroom plan wearing heels walk guest house difficult mission leaving everyday trying keep balance plan staying multiple people going also keep mind nataraj wants quiet air bnb loved location nataraj taste decor would return unless ac lighting cleanliness approved nataraj little contact nice accomdated us needed extra bedding 
3021,2016-08-29,place looks better person great quiet neighborhood hills nataraj accommodating 
3021,2016-09-06,great place convenient hollywood yet far enough away peace 
3021,2016-09-13,great place hills perfect getaway 
3021,2016-10-03,nataraj great host informative area gave great suggestions eat flat exactly advertised clean area quiet close everything interested seeing would recommend place anyone interested visiting la 
3021,2016-10-11,great place ideal want away bs hollywood yet still 
3021,2016-12-28,long time member airbnb community reviewed hosts reviewed honestly multiple times felt important preface intention never leave negative review spite sadly experience apartment great nice little spot canyon owner prompt reply booking process booked place mother grandmother holidays delivered less acceptable condition certain expectations cleanliness staying hotels rentals fees us renters pay cleaning expect anything less super clean space feel safe comfortable sadly mom grandma house keeper years found place nothing like expected picked keys getting family airport ran owners tenant upstairs apartment cleaning space thought nothing time dropped mom gram early morning heard conditions sleep immediately made leave felt bad guilty complain middle night reached owner hear back walk space alert stove dirty agree assessment offer clean us check back clear idea clean mom took photos issues owner seem notice anything like mess bathroom shelf unacceptable paying client dirty fridge microwave dirty floor bug traps bugs corners friends crashing place free paying clients want spend little time family giving host directions needs clean accept offer send photos every time someone leaves hosts place place mopped dusted bleached completely cleaned next guests issue integrity hygiene experiences airbnb know owners hire actual cleaning crews take advantage cleaning fee actual cleaning questions asked hopeful experience feedback encourage host take appropriate actions ensure cleanliness nice apartment never issue booked stay based previous good reviews sure 
3021,2017-01-03,quartier charmant vert et au calme sans nous sommes suite la perte valise de lasvegas nous avons bien de notre retard et que nous avions la nuit sur km mais il nous fait attendre h de du matin avant de remettre la peu locace et avare en information logement difficile manque manifeste sanitaires noires couverts de suspectes draps et couette sales et toiles partout de la salle de bains et donc un froid dans cette surtout le matin nous avons une seule photo si peu de son logement et de pas fourni les importants sur les du logement pour que les locataires soient quant notre message notre il ne nous jamais 
3021,2017-08-10,unreliable host helpful found mold bathroom owner blamed lack upkeep property rude lazy would recommended staying 
3021,2017-09-15,unit hot ac great 
3021,2018-08-15,nataraj incredible host helpful issue quick responses cancelled first days trip feel control recommend guesthouse much great location 
3021,2018-08-19,great location looking something close hollywood relatively close beaches uber rides canyon expensive easy come quiet nataraj good host meets person accommodating late check request hands guess followed rules many mindful neighbors always appreciated would definitely stay back la 
3021,2018-08-24,property cool space beautiful area actually bigger appears photos well laid definitely recommend stay 
3021,2018-09-08,great fitness lift 
3021,2018-10-31,friend stayed month half transitioning apartments overall pleasant experience design decor guesthouse aesthetically pleasing obvious host put lot effort stocked full kitchen supplies decently sized closet nice tv full cable access things worth noting prepared street parking majority time general hard find close parking times usually night residents back work spent minutes trying find back forth cars apartment technically spot sidewalk guests could use host car time part floor guesthouse exposes structural foundation basically deep inserts bottom believe host intention putting glass openings entirety stay uncovered consequence noticed normal amount spiders bugs getting apartment issue little bugs keep mind furthermore might best idea guests crawling babies young children could easy slip basically cellphone roaming surrounding area wifi guesthouse mediocre best due general lack reception issue cell phone service solved wifi calling directly inside guesthouse going require extremely reliable internet services stay might best option little things noticed result staying guesthouse extended period time detract greatly overall experience 
6033,2009-08-13,sarah wonderful hostess room bed huge comfortable quiet neighborhood easy access malibu santa monica enjoyed stay 
6033,2010-01-06,sarah terrific hostess could kind helpful room ensuite bathroom large clean fresh towels day delicious breakfast brought room day neighborhood quiet parking easy easy access malibu topanga ventura etc would thoroughly recommend stay sarah 
6033,2010-07-27,pleasure stay sarah house lovely quite neighborhood far malibu santa monica la room spacious comfortable en suite sarah great hostess cooked tasty breakfast mornings enjoyed staying sarah would highly recommend 
6033,2011-03-21,nice place super nice people 
6033,2011-05-03,nice helpful host 
6033,2014-06-11,stayed sarah house lovely host really wants best girlfriend pleasent stay lucky enough meet sarah son really good people area quiet parking easy would recommend hope keep contact sarah best regards henrik sara 
6033,2014-06-12,reservation canceled days arrival automated posting 
6033,2014-07-28,reservation canceled days arrival automated posting 
6033,2014-08-02,reservation canceled days arrival automated posting 
6033,2014-11-18,sarah great host always quick respond messages booking arriving cleaned space spotless arrival extremely welcoming accommodating great area space availability also share kitchen pool area stay location also quiet safe well convenient get freeway 
6033,2014-12-01,sarah relaxed relaxing charming host extremely friendly easy talk easy get along spent peaceful week studio enjoying fireplace almost every evening left place filled sense peace serenity already missing hospitality would love stay 
6033,2015-01-16,beautiful location gracious host 
6033,2015-05-17,nice stay sarah studio flight got late appreciated sarah welcoming us making sure everything need bad weather cooperate would nice little poolside hang 
6033,2015-06-16,sarah home beautiful convenient shopping route accomodated us another suite one became overbooked greeted us although abroad visit kept us informed asked coordinate guests several within house house details guests amazing people world really made week pleasant interesting fun time plenty room adequate privacy works would stay sarah home 
6033,2015-07-29,host canceled reservation days arrival automated posting 
6033,2015-10-29,sarah welcoming host exactly like photos privacy pool gorgeous 
6033,2015-11-07,sarah excellent host waited first day late arrival made sure comfortable bath room presented everything clean good shape 
6033,2017-03-31,lovely host bright peaceful room thank x 
6033,2017-10-03,perfect stay perfect location girlfriend get away city without far city 
6033,2017-12-22,host canceled reservation day arrival automated posting 
6033,2017-12-23,best airbnb experience yet sarah great house great location great pictures accurate definitely stay highly recommend 
6033,2018-01-17,located outside city near amenities easy drive downtown la beautiful californian suburban residence amazing host house backyard absolutely stunning highly recommended 
6931,2009-05-26,charles friendly host ready help need suggestion quiet respectful privacy need alone location apartment great short walk hollywood highland mall close essential public transport pharmacies supermarkets etc street charming quiet though house steps busy sunset boulevard 
6931,2010-04-11,cute room nice balcony quiet street nice neighbourhood charles great host friendly considerate thanks 
6931,2010-04-29,charles great host knew los angeles keep good work 
6931,2012-07-10,reservation canceled day arrival automated posting 
6931,2012-12-18,listing nice location close many hotspots hollywood including walk fame hollywood boulevard chinese theatre etc also subway connecting downtown la within walking distance plenty places eat area including burger king wendy subway pizza parlors etc plenty options whatever might prefer grocery store also near gym basic equipment enabling full body workout never crowded 
6931,2014-05-16,ladies gentlemen let introduce best host west hollywood great room outstanding view absolute cleanliness perfect location close possible transportations stores charles extremely helpful always help different issues even straightly connected stay also careful privacy strongly recommended 
6931,2014-05-21,charles exceptional host thoughtful preparing everything stay place amazing could think better place stay los angeles charles house everything clean organized comfortable even though car la could go anywhere city public transportation walking distance walk fame take metro bus lines really great time la thank charles 
6931,2014-08-01,stay charles absolutely exceeded expectations charles friendliest adaptable guy met stay los angeles considerate caring available three best words use describe charles person host without hesitation would recommend place everyone looking place stay heart hollywood los angeles 
6931,2014-11-30,stayed charles three months first came la location super convenient studies minute away american academy dramatic arts convenient train stations grocery stores staying close really helped settle charles house perfect branching find new places go would definitely recommend charles apartment students stufying near looking base apartment well kept bed comfy charles friendly good host thank 
6931,2015-05-16,charles best host airbnb listings ca really beat 
6931,2015-05-22,charles laugh everytime see humble person funny area quiet transportation reach within hollywood walk fame walk pretty much surrounded everywhere stayed nights room bed comfy everytime come back going pass thank charles 
6931,2018-05-31,stayed chas two months terrific room amazing clean apartment overall extremely helpful anything needed month half mark needed extend two months happy call airbnb work also keeping price skyrocketing respectful privacy overall awesome host reccomend staying apartments great location perfect chas nice guy 
7143,2009-06-01,stayed leilani ova days may daughter excellent hosts sincereley recommend treat guests part family without overpowering location house perfect activities manage save airfare would definately choose home 
7143,2009-07-29,enjoy staying leilany ova place room cosy neat full interesting books great value interested culture history mythology library offers wide range books minutes driving santa monica beach one always find parking place street travel without car bus stop round corner like emphasize leilani ova awesome creative pleasant deal beautiful definitely recommend place la guests 
7143,2009-09-02,stayed nights leilani ova place house really nice well located venice beach downtown la useful tourists like us thanks ova tip went venice canals way back la beautiful definitely recommend place 
7143,2009-09-18,stayed beautiful comfortable place last week loved talking really loved time los angeles forget hollywood get chance surf lesson absolutely recommend place hope see someday rhea flo 
7143,2009-09-23,leilani ova perfect hosts courteous helpful without intrusive definitely plan stay next visit la asb 
7143,2009-10-04,highly recommend leilanis ovas place stayed house comfortable stay leilani ova many ideas day trips around la many galleries around nice places eat hope visit la leilani ova soon possible 
7143,2009-10-24,reeeeeeeally cute place delicated decoration nice host full art environment floating around absolutely come 
7143,2009-12-29,first thing house really min anything second best hosts ever third room like picture great place stay 
7143,2010-01-02,leilani ova great hosts friends planned spend nights ended thanks considerate couple house convenient location said artsy feels like home even invited us join friends new year celebration thanks everything 
7143,2010-01-06,leilani ova lovely hosts enjoyed flying visit shame could stayed longer room soooo comfortable house situated great part town would highly recommend looking place la 
